Time,Sleep and rest,Personal care,Paid work,Travel,Unpaid household work,Unpaid care,Watching television,Entertainment and leisure,Education and study,Other
04:00,97.1,0.9,0.7,0.1,0.2,0.1,0.2,0.3,0.0,0.4
04:10,97.1,0.8,0.7,0.1,0.2,0.1,0.2,0.3,0.0,0.4
04:20,97.1,0.9,0.7,0.1,0.2,0.1,0.2,0.4,0.0,0.4
04:30,96.6,0.9,0.7,0.1,0.4,0.1,0.2,0.4,0.0,0.5
04:40,96.3,1.1,0.7,0.2,0.3,0.1,0.2,0.4,0.0,0.5
04:50,96.0,1.3,0.7,0.2,0.3,0.1,0.3,0.4,0.0,0.5
05:00,94.4,2.0,0.8,0.4,0.7,0.1,0.3,0.7,0.0,0.5
05:10,94.3,1.9,0.8,0.5,0.9,0.1,0.3,0.7,0.0,0.5
05:20,93.7,2.2,0.8,0.6,0.7,0.1,0.3,0.7,0.0,0.8
05:30,91.6,3.2,1.0,1.1,0.8,0.2,0.3,0.8,0.0,0.9
05:40,90.7,3.5,1.1,1.7,0.8,0.2,0.4,0.9,0.0,0.7
05:50,90.0,3.4,1.6,1.7,0.9,0.2,0.4,1.1,0.0,0.7
06:00,82.5,7.7,2.5,1.3,2.4,0.6,0.4,1.8,0.1,0.7
06:10,80.7,7.8,2.6,1.7,3.0,0.5,0.5,2.2,0.1,1.0
06:20,78.5,9.0,2.8,2.0,3.2,0.6,0.5,2.6,0.1,0.7
06:30,71.0,13.7,3.5,2.6,4.4,0.9,0.5,3.2,0.0,0.3
06:40,69.1,14.5,3.6,2.7,4.7,1.1,0.6,3.5,0.0,0.2
06:50,67.8,14.0,4.1,3.0,5.1,1.1,1.1,3.6,0.0,0.2
07:00,52.6,21.5,5.8,4.2,8.3,2.2,1.0,3.9,0.0,0.5
07:10,50.4,21.0,6.4,4.8,8.5,2.3,1.3,4.7,0.1,0.5
07:20,48.7,20.5,6.8,5.8,8.8,2.4,1.3,5.1,0.1,0.6
07:30,40.6,23.3,8.6,7.4,10.2,2.4,1.4,5.5,0.0,0.6
07:40,38.9,22.9,9.5,8.9,9.8,2.5,1.5,5.5,0.1,0.4
07:50,37.6,22.1,10.9,9.4,9.7,2.7,1.7,5.2,0.1,0.6
08:00,26.4,24.7,16.3,10.0,11.3,2.7,1.6,5.8,0.3,0.8
08:10,24.8,24.7,17.5,10.3,11.2,2.7,1.6,6.5,0.3,0.5
08:20,23.3,22.8,19.1,11.1,11.7,2.7,1.6,6.7,0.3,0.7
08:30,18.3,22.5,24.2,11.8,11.5,1.9,1.4,7.5,0.3,0.6
08:40,17.6,21.1,26.0,11.4,11.1,1.5,2.1,7.9,0.4,0.8
08:50,17.0,19.3,27.7,10.5,12.4,1.7,2.0,8.4,0.4,0.7
09:00,11.3,17.5,34.4,7.5,15.2,1.7,2.2,7.7,1.7,0.9
09:10,10.6,16.9,35.8,6.6,16.2,1.7,2.1,7.8,1.6,0.7
09:20,10.4,15.6,36.9,6.3,16.3,1.6,2.1,8.5,1.6,0.8
09:30,8.2,13.5,38.7,6.0,18.3,1.4,2.4,8.9,1.7,1.0
09:40,8.2,12.9,39.4,5.4,18.2,1.5,2.2,9.3,1.7,1.1
09:50,8.1,11.8,39.4,5.6,18.4,1.9,2.4,9.7,1.8,1.1
10:00,5.9,12.3,40.2,5.5,19.4,1.7,2.3,10.0,1.8,1.0
10:10,5.6,11.1,40.5,5.6,19.7,2.0,2.6,10.0,2.0,0.9
10:20,5.3,10.7,40.8,5.2,19.6,2.1,2.5,10.7,2.0,1.0
