Time,Sleep and rest,Personal care,Paid work,Travel,Unpaid household work,Unpaid care,Watching television,Entertainment and leisure,Education and study,Other
04:00:00,96.2,0.9,1.0,0.5,0.3,0.1,0.2,0.4,0.0,0.4
04:10:00,96.3,0.8,1.0,0.5,0.3,0.1,0.2,0.4,0.0,0.5
04:20:00,96.2,0.8,1.1,0.4,0.3,0.1,0.2,0.4,0.0,0.4
04:30:00,95.9,0.9,1.2,0.3,0.4,0.1,0.3,0.4,0.0,0.5
04:40:00,95.7,1.1,1.2,0.3,0.4,0.2,0.3,0.4,0.0,0.5
04:50:00,95.6,1.2,1.2,0.4,0.4,0.2,0.3,0.4,0.0,0.6
05:00:00,94.8,1.7,1.2,0.4,0.6,0.0,0.3,0.4,0.0,0.6
05:10:00,94.6,1.6,1.2,0.5,0.5,0.1,0.4,0.5,0.0,0.6
05:20:00,94.7,1.5,1.2,0.6,0.5,0.1,0.4,0.4,0.0,0.7
05:30:00,93.6,1.9,1.2,0.7,0.6,0.3,0.4,0.6,0.0,0.7
05:40:00,93.2,1.5,1.2,0.9,0.8,0.3,0.4,0.7,0.0,0.9
05:50:00,93.1,1.6,1.5,0.8,0.8,0.3,0.4,0.7,0.0,0.9
06:00:00,90.2,2.9,1.8,1.1,1.5,0.5,0.2,1.0,0.0,0.7
06:10:00,89.9,2.8,2.1,1.0,1.4,0.6,0.3,1.4,0.0,0.7
06:20:00,88.9,2.6,2.1,1.1,1.9,0.7,0.3,1.7,0.0,0.7
06:30:00,85.0,4.7,2.3,1.4,2.4,0.8,0.5,2.3,0.0,0.5
06:40:00,84.4,4.6,2.4,1.3,2.9,0.8,0.6,2.6,0.0,0.3
06:50:00,83.4,5.0,2.4,1.3,3.2,0.9,0.7,2.8,0.0,0.3
07:00:00,74.6,10.8,2.7,1.0,4.6,1.0,1.2,3.6,0.1,0.4
07:10:00,73.2,10.8,2.7,1.2,4.8,1.2,1.2,4.1,0.1,0.5
07:20:00,72.0,10.9,2.7,1.6,4.9,1.3,1.5,4.6,0.1,0.6
07:30:00,65.0,13.6,3.0,2.0,7.2,1.3,1.8,5.5,0.1,0.5
07:40:00,63.7,14.3,2.9,2.2,7.4,1.1,1.9,5.8,0.1,0.6
07:50:00,62.1,13.8,3.1,2.5,7.9,1.3,2.3,6.5,0.1,0.5
08:00:00,50.0,21.1,3.8,2.5,10.4,1.9,2.3,7.2,0.1,0.7
08:10:00,48.8,20.3,3.8,2.8,11.0,1.9,2.5,8.1,0.2,0.6
08:20:00,47.3,21.3,3.9,2.8,10.9,2.2,2.4,8.3,0.2,0.7
08:30:00,39.0,22.9,4.2,4.3,14.4,2.5,2.8,9.1,0.2,0.6
08:40:00,37.5,22.7,4.2,4.9,14.9,2.5,2.9,9.2,0.3,0.9
08:50:00,36.5,22.5,4.7,4.7,15.0,2.3,3.1,9.9,0.3,1.0
09:00:00,26.8,25.7,5.4,4.5,18.7,2.7,3.3,11.4,0.4,1.1
09:10:00,25.6,24.9,5.6,5.0,19.2,2.9,3.7,11.8,0.2,1.2
09:20:00,24.9,23.6,5.6,5.1,19.9,2.8,4.0,12.5,0.2,1.3
09:30:00,19.9,23.1,6.1,6.0,22.6,2.9,4.2,14.0,0.2,1.0
09:40:00,19.2,21.6,6.2,6.7,22.9,2.9,4.5,14.6,0.2,1.2
09:50:00,19.1,20.9,6.4,6.2,23.6,3.0,4.3,15.1,0.1,1.2
10:00:00,12.1,21.2,6.7,8.2,27.0,3.2,4.6,15.3,0.4,1.4
10:10:00,11.9,21.2,7.0,6.8,27.3,3.2,4.8,16.2,0.4,1.2
10:20:00,11.5,20.2,7.1,7.0,27.6,3.1,4.7,16.9,0.5,1.3
10:30:00,9.7,17.1,7.6,8.8,28.8,3.5,4.7,17.8,0.6,1.4
10:40:00,9.2,16.4,7.9,8.6,29.3,3.2,4.7,18.7,0.6,1.4
10:50:00,9.0,16.4,7.8,8.6,29.1,3.1,5.2,19.0,0.6,1.3
11:00:00,6.0,15.5,8.1,8.5,31.1,3.2,5.1,20.6,0.9,1.1
11:10:00,6.0,14.1,8.1,8.7,32.0,3.1,4.6,21.1,1.0,1.3
11:20:00,5.9,12.8,8.0,8.7,33.1,3.2,4.5,21.1,1.0,1.6
11:30:00,5.7,11.0,7.8,9.3,34.3,3.1,4.8,21.1,1.3,1.6
11:40:00,5.5,10.9,7.8,8.9,34.9,3.2,5.1,20.8,1.3,1.6
11:50:00,5.4,10.9,7.7,8.4,35.1,3.0,5.3,21.6,1.4,1.3
12:00:00,4.1,13.5,7.4,7.8,35.1,2.6,4.9,21.4,1.3,1.8
12:10:00,4.1,14.3,7.3,7.9,34.6,2.7,5.0,20.9,1.6,1.5
12:20:00,4.2,15.6,7.3,7.7,32.6,2.8,5.2,20.9,1.6,1.9
12:30:00,4.0,16.3,7.1,8.9,32.2,2.6,5.7,20.1,1.2,1.7
12:40:00,4.0,16.9,7.1,8.4,31.7,2.7,5.9,20.1,1.2,1.8
12:50:00,4.2,17.8,7.1,8.0,31.1,3.0,6.4,19.9,1.0,1.6
13:00:00,3.7,17.8,7.6,8.4,29.6,3.4,7.0,20.4,0.8,1.4
13:10:00,4.0,18.2,7.5,8.5,28.9,3.2,7.4,20.3,0.7,1.3
13:20:00,4.2,17.0,7.3,7.4,30.0,3.6,7.6,20.9,0.8,1.1
13:30:00,3.9,17.2,7.1,7.0,28.9,3.3,8.4,21.7,1.3,1.2
13:40:00,3.9,17.4,7.3,6.2,28.1,3.2,8.6,22.9,1.3,1.2
13:50:00,3.8,17.3,7.2,6.4,27.9,3.0,9.1,22.9,1.2,1.1
14:00:00,3.6,16.5,6.8,7.0,27.1,3.0,10.1,23.4,1.2,1.3
14:10:00,3.8,14.8,6.9,7.6,26.8,3.2,10.9,23.5,1.3,1.1
14:20:00,4.0,14.1,6.7,7.0,26.5,3.4,11.0,24.9,1.2,1.2
14:30:00,3.3,12.1,6.8,7.3,27.7,3.1,12.2,25.6,0.8,0.9
14:40:00,3.3,11.4,6.8,6.3,28.2,3.5,12.6,25.8,1.0,1.0
14:50:00,3.7,10.8,6.6,6.6,28.1,3.6,13.1,25.6,1.0,1.0
15:00:00,3.9,8.8,6.6,7.3,27.2,3.8,14.4,25.4,1.1,1.5
15:10:00,3.9,8.7,6.7,6.6,26.5,4.1,14.8,26.1,1.2,1.6
15:20:00,3.7,8.2,6.7,6.5,26.5,4.0,15.2,26.4,1.6,1.2
15:30:00,3.6,7.7,6.4,8.0,26.0,4.2,15.5,25.7,1.6,1.3
15:40:00,3.7,7.0,6.5,8.4,26.0,4.4,15.7,25.2,1.6,1.4
15:50:00,4.0,7.1,6.6,7.2,26.0,4.5,15.9,25.6,1.5,1.5
16:00:00,3.8,8.3,5.9,8.4,26.5,4.3,16.2,24.1,1.6,1.2
16:10:00,3.9,8.3,5.7,8.5,25.6,4.2,16.5,24.4,1.6,1.2
16:20:00,3.7,8.9,5.7,7.4,25.8,4.3,16.8,24.7,1.6,1.2
16:30:00,3.6,9.9,6.0,7.0,24.2,4.5,16.9,24.7,1.7,1.5
16:40:00,3.7,9.9,5.9,6.7,24.2,4.3,17.8,24.1,1.6,1.7
16:50:00,3.8,9.4,5.9,6.6,23.6,4.5,18.5,24.4,1.7,1.7
17:00:00,3.4,12.3,5.0,7.1,24.0,3.7,18.8,22.7,1.4,1.5
17:10:00,3.3,13.3,4.8,7.3,23.9,3.7,18.9,22.0,1.4,1.5
